noise_type,inital_noise,noisy_rate,mean,std
instance,0.01,0.1,0.24956399999999998,0.0015829971572937308
instance,0.01,0.2,0.330004,0.001586341703417
instance,0.01,0.3,0.412228,0.0021607683818493945
instance,0.01,0.4,0.495284,0.002044817840297773
instance,0.01,0.5,0.574976,0.0009754383629937859
instance,0.01,0.6,0.657368,0.0007629678892325728
instance,0.01,0.7,0.736792,0.0016380842469177126
instance,0.01,0.8,0.818496,0.0015139616904003919
instance,0.01,0.9,0.9009360000000001,0.0012365597438053597
instance,0.1,0.1,0.239648,0.0011116294346588589
instance,0.1,0.2,0.322628,0.0021160151228193013
instance,0.1,0.3,0.404316,0.0010923735624776068
instance,0.1,0.4,0.487552,0.0007497466238670261
instance,0.1,0.5,0.57006,0.0003043024810940251
instance,0.1,0.6,0.65286,0.0015266302761310546
instance,0.1,0.7,0.735684,0.0018726131474492782
instance,0.1,0.8,0.816128,0.0018733179121548352
instance,0.1,0.9,0.9005839999999999,0.0019604795331754727
instance,0.2,0.1,0.239648,0.0011116294346588589
instance,0.2,0.2,0.322628,0.0021160151228193013
instance,0.2,0.3,0.404316,0.0010923735624776068
instance,0.2,0.4,0.487552,0.0007497466238670261
instance,0.2,0.5,0.57006,0.0003043024810940251
instance,0.2,0.6,0.65286,0.0015266302761310546
instance,0.2,0.7,0.735684,0.0018726131474492782
instance,0.2,0.8,0.816128,0.0018733179121548352
instance,0.2,0.9,0.9005839999999999,0.0019604795331754727
instance,0.3,0.1,0.239648,0.0011116294346588589
instance,0.3,0.2,0.322628,0.0021160151228193013
instance,0.3,0.3,0.404316,0.0010923735624776068
instance,0.3,0.4,0.487552,0.0007497466238670261
instance,0.3,0.5,0.57006,0.0003043024810940251
instance,0.3,0.6,0.65286,0.0015266302761310546
instance,0.3,0.7,0.735684,0.0018726131474492782
instance,0.3,0.8,0.816128,0.0018733179121548352
instance,0.3,0.9,0.9005839999999999,0.0019604795331754727
instance,0.4,0.1,0.239648,0.0011116294346588589
instance,0.4,0.2,0.322628,0.0021160151228193013
instance,0.4,0.3,0.404316,0.0010923735624776068
instance,0.4,0.4,0.487552,0.0007497466238670261
instance,0.4,0.5,0.57006,0.0003043024810940251
instance,0.4,0.6,0.65286,0.0015266302761310546
instance,0.4,0.7,0.735684,0.0018726131474492782
instance,0.4,0.8,0.816128,0.0018733179121548352
instance,0.4,0.9,0.9005839999999999,0.0019604795331754727
instance,0.5,0.1,0.239648,0.0011116294346588589
instance,0.5,0.2,0.322628,0.0021160151228193013
instance,0.5,0.3,0.404316,0.0010923735624776068
instance,0.5,0.4,0.487552,0.0007497466238670261
instance,0.5,0.5,0.57006,0.0003043024810940251
instance,0.5,0.6,0.65286,0.0015266302761310546
instance,0.5,0.7,0.735684,0.0018726131474492782
instance,0.5,0.8,0.816128,0.0018733179121548352
instance,0.5,0.9,0.9005839999999999,0.0019604795331754727
instance,0.6,0.1,0.239648,0.0011116294346588589
instance,0.6,0.2,0.322628,0.0021160151228193013
instance,0.6,0.3,0.404316,0.0010923735624776068
instance,0.6,0.4,0.487552,0.0007497466238670261
instance,0.6,0.5,0.57006,0.0003043024810940251
instance,0.6,0.6,0.65286,0.0015266302761310546
instance,0.6,0.7,0.735684,0.0018726131474492782
instance,0.6,0.8,0.816128,0.0018733179121548352
instance,0.6,0.9,0.9005839999999999,0.0019604795331754727
instance,0.7,0.1,0.239648,0.0011116294346588589
instance,0.7,0.2,0.322628,0.0021160151228193013
instance,0.7,0.3,0.404316,0.0010923735624776068
instance,0.7,0.4,0.487552,0.0007497466238670261
instance,0.7,0.5,0.57006,0.0003043024810940251
instance,0.7,0.6,0.65286,0.0015266302761310546
instance,0.7,0.7,0.735684,0.0018726131474492782
instance,0.7,0.8,0.816128,0.0018733179121548352
instance,0.7,0.9,0.9005839999999999,0.0019604795331754727
instance,0.8,0.1,0.239648,0.0011116294346588589
instance,0.8,0.2,0.322628,0.0021160151228193013
instance,0.8,0.3,0.404316,0.0010923735624776068
instance,0.8,0.4,0.487552,0.0007497466238670261
instance,0.8,0.5,0.57006,0.0003043024810940251
instance,0.8,0.6,0.65286,0.0015266302761310546
instance,0.8,0.7,0.735684,0.0018726131474492782
instance,0.8,0.8,0.816128,0.0018733179121548352
instance,0.8,0.9,0.9005839999999999,0.0019604795331754727
instance,0.9,0.1,0.239648,0.0011116294346588589
instance,0.9,0.2,0.322628,0.0021160151228193013
instance,0.9,0.3,0.404316,0.0010923735624776068
instance,0.9,0.4,0.487552,0.0007497466238670261
instance,0.9,0.5,0.57006,0.0003043024810940251
instance,0.9,0.6,0.65286,0.0015266302761310546
instance,0.9,0.7,0.735684,0.0018726131474492782
instance,0.9,0.8,0.816128,0.0018733179121548352
instance,0.9,0.9,0.9005839999999999,0.0019604795331754727
pair,0.01,0.1,0.190656,0.0015604742868756236
pair,0.01,0.2,0.27870399999999995,0.001782492636730946
pair,0.01,0.3,0.36938,0.002347466719678889
pair,0.01,0.4,0.456508,0.0015695604480235547
pair,0.01,0.5,0.544932,0.00079518551294649
pair,0.01,0.6,0.6360520000000001,0.0026933102309240503
pair,0.01,0.7,0.72226,0.003002065955304749
pair,0.01,0.8,0.812532,0.0011771660885363437
pair,0.01,0.9,0.9009360000000001,0.0012365597438053597
pair,0.1,0.1,0.239648,0.0011116294346588589
pair,0.1,0.2,0.322628,0.0021160151228193013
pair,0.1,0.3,0.404316,0.0010923735624776068
pair,0.1,0.4,0.487552,0.0007497466238670261
pair,0.1,0.5,0.57006,0.0003043024810940251
pair,0.1,0.6,0.65286,0.0015266302761310546
pair,0.1,0.7,0.735684,0.0018726131474492782
pair,0.1,0.8,0.816128,0.0018733179121548352
pair,0.1,0.9,0.9005839999999999,0.0019604795331754727
pair,0.2,0.1,0.239648,0.0011116294346588589
pair,0.2,0.2,0.322628,0.0021160151228193013
pair,0.2,0.3,0.404316,0.0010923735624776068
pair,0.2,0.4,0.487552,0.0007497466238670261
pair,0.2,0.5,0.57006,0.0003043024810940251
pair,0.2,0.6,0.65286,0.0015266302761310546
pair,0.2,0.7,0.735684,0.0018726131474492782
pair,0.2,0.8,0.816128,0.0018733179121548352
pair,0.2,0.9,0.9005839999999999,0.0019604795331754727
pair,0.3,0.1,0.239648,0.0011116294346588589
pair,0.3,0.2,0.322628,0.0021160151228193013
pair,0.3,0.3,0.404316,0.0010923735624776068
pair,0.3,0.4,0.487552,0.0007497466238670261
pair,0.3,0.5,0.57006,0.0003043024810940251
