noisy_rate,error_rate,dataset,noise_type,causal,inital_noise,seed
0.1,0.195,yxguassian200,sym,0,0.01,1
0.2,0.235,yxguassian200,sym,0,0.01,1
0.3,0.305,yxguassian200,sym,0,0.01,1
0.4,0.385,yxguassian200,sym,0,0.01,1
0.5,0.53,yxguassian200,sym,0,0.01,1
0.6,0.615,yxguassian200,sym,0,0.01,1
0.7,0.695,yxguassian200,sym,0,0.01,1
0.8,0.765,yxguassian200,sym,0,0.01,1
0.9,0.805,yxguassian200,sym,0,0.01,1
0.1,0.255,yxguassian200,sym,0,0.1,1
0.2,0.295,yxguassian200,sym,0,0.1,1
0.3,0.345,yxguassian200,sym,0,0.1,1
0.4,0.395,yxguassian200,sym,0,0.1,1
0.5,0.53,yxguassian200,sym,0,0.1,1
0.6,0.605,yxguassian200,sym,0,0.1,1
0.7,0.655,yxguassian200,sym,0,0.1,1
0.8,0.705,yxguassian200,sym,0,0.1,1
0.9,0.745,yxguassian200,sym,0,0.1,1
0.1,0.335,yxguassian200,sym,0,0.2,1
0.2,0.345,yxguassian200,sym,0,0.2,1
0.3,0.395,yxguassian200,sym,0,0.2,1
0.4,0.435,yxguassian200,sym,0,0.2,1
0.5,0.53,yxguassian200,sym,0,0.2,1
0.6,0.565,yxguassian200,sym,0,0.2,1
0.7,0.605,yxguassian200,sym,0,0.2,1
0.8,0.655,yxguassian200,sym,0,0.2,1
0.9,0.665,yxguassian200,sym,0,0.2,1
0.1,0.42,yxguassian200,sym,0,0.3,1
0.2,0.42,yxguassian200,sym,0,0.3,1
0.3,0.43,yxguassian200,sym,0,0.3,1
0.4,0.44,yxguassian200,sym,0,0.3,1
0.5,0.53,yxguassian200,sym,0,0.3,1
0.6,0.56,yxguassian200,sym,0,0.3,1
0.7,0.57,yxguassian200,sym,0,0.3,1
0.8,0.58,yxguassian200,sym,0,0.3,1
0.9,0.58,yxguassian200,sym,0,0.3,1
0.1,0.205,yxguassian200,sym,0,0.01,2
0.2,0.24,yxguassian200,sym,0,0.01,2
0.3,0.32,yxguassian200,sym,0,0.01,2
0.4,0.385,yxguassian200,sym,0,0.01,2
0.5,0.445,yxguassian200,sym,0,0.01,2
0.6,0.615,yxguassian200,sym,0,0.01,2
0.7,0.68,yxguassian200,sym,0,0.01,2
0.8,0.76,yxguassian200,sym,0,0.01,2
0.9,0.795,yxguassian200,sym,0,0.01,2
0.1,0.25,yxguassian200,sym,0,0.1,2
0.2,0.255,yxguassian200,sym,0,0.1,2
0.3,0.335,yxguassian200,sym,0,0.1,2
0.4,0.39,yxguassian200,sym,0,0.1,2
0.5,0.445,yxguassian200,sym,0,0.1,2
0.6,0.61,yxguassian200,sym,0,0.1,2
0.7,0.665,yxguassian200,sym,0,0.1,2
0.8,0.745,yxguassian200,sym,0,0.1,2
0.9,0.75,yxguassian200,sym,0,0.1,2
0.1,0.29,yxguassian200,sym,0,0.2,2
0.2,0.285,yxguassian200,sym,0,0.2,2
0.3,0.345,yxguassian200,sym,0,0.2,2
0.4,0.39,yxguassian200,sym,0,0.2,2
0.5,0.445,yxguassian200,sym,0,0.2,2
0.6,0.61,yxguassian200,sym,0,0.2,2
0.7,0.655,yxguassian200,sym,0,0.2,2
0.8,0.715,yxguassian200,sym,0,0.2,2
0.9,0.71,yxguassian200,sym,0,0.2,2
0.1,0.35,yxguassian200,sym,0,0.3,2
0.2,0.335,yxguassian200,sym,0,0.3,2
0.3,0.385,yxguassian200,sym,0,0.3,2
0.4,0.43,yxguassian200,sym,0,0.3,2
0.5,0.445,yxguassian200,sym,0,0.3,2
0.6,0.57,yxguassian200,sym,0,0.3,2
0.7,0.615,yxguassian200,sym,0,0.3,2
0.8,0.665,yxguassian200,sym,0,0.3,2
0.9,0.65,yxguassian200,sym,0,0.3,2
0.1,0.235,yxguassian200,sym,0,0.01,3
0.2,0.315,yxguassian200,sym,0,0.01,3
0.3,0.385,yxguassian200,sym,0,0.01,3
0.4,0.5,yxguassian200,sym,0,0.01,3
